CODMUNDV,NOMEMUN,X,Y
1100015,Alta Floresta D'Oeste,-62.274680000000004,-12.470180000000001
1100379,Alto Alegre dos Parecis,-61.88081,-12.593739999999999
1100403,Alto Paraíso,-63.39431999999999,-9.64931
1100346,Alvorada D'Oeste,-62.544990000000006,-11.31142
1100023,Ariquemes,-62.95726,-9.951889999999999
1100452,Buritis,-63.941159999999996,-10.05212
1100031,Cabixi,-60.63981,-13.474879999999999
1100601,Cacaulândia,-62.98726,-10.3316
1100049,Cacoal,-61.32473,-11.30129
1100700,Campo Novo de Rondônia,-63.79971999999999,-10.48493
1100809,Candeias do Jamari,-63.325619999999994,-8.886989999999999
1100908,Castanheiras,-61.880069999999996,-11.4708
1100056,Cerejeiras,-61.26095,-13.203560000000001
1100924,Chupinguaia,-60.89838,-12.53733
1100064,Colorado do Oeste,-60.55024,-13.15915
1100072,Corumbiara,-61.09165,-12.926630000000001
1100080,Costa Marques,-64.05877,-12.14725
1100940,Cujubim,-62.56534,-9.17109
1100098,Espigão D'Oeste,-60.78483000000001,-11.351339999999999
1101005,Governador Jorge Teixeira,-63.18401,-10.74803
1100106,Guajará-Mirim,-64.53752,-11.30567
1101104,Itapuã do Oeste,-63.044940000000004,-9.17021
1100114,Jaru,-62.584869999999995,-10.59245
1100122,Ji-Paraná,-61.75725,-10.46222
1100130,Machadinho D'Oeste,-62.010380000000005,-9.204089999999999
1101203,Ministro Andreazza,-61.56896999999999,-11.16029
1101302,Mirante da Serra,-62.84798000000001,-11.076839999999999
1101401,Monte Negro,-63.37239,-10.21083
1100148,Nova Brasilândia D'Oeste,-62.28024,-11.64312
1100338,Nova Mamoré,-64.62917,-10.38218
1101435,Nova União,-62.53236,-10.889339999999999
1100502,Novo Horizonte do Oeste,-62.0832,-11.68109
1100155,Ouro Preto do Oeste,-62.17253,-10.61055
1101450,Parecis,-61.415380000000006,-12.26233
1100189,Pimenta Bueno,-60.83039,-11.89447
1101468,Pimenteiras do Oeste,-61.54531,-13.173879999999999
1100205,Porto Velho,-64.30681,-9.15359
1100254,Presidente Médici,-61.87795,-11.166269999999999
1101476,Primavera de Rondônia,-61.31534,-11.878689999999999
1100262,Rio Crespo,-62.79006999999999,-9.64521
1100288,Rolim de Moura,-61.77154,-11.732560000000001
1100296,Santa Luzia D'Oeste,-61.70109,-12.02697
1101484,São Felipe D'Oeste,-61.46706999999999,-11.90497
1101492,São Francisco do Guaporé,-63.12211,-12.368689999999999
1100320,São Miguel do Guaporé,-62.983219999999996,-11.614930000000001
1101500,Seringueiras,-63.2307,-11.80722
1101559,Teixeirópolis,-62.27976999999999,-10.94345
1101609,Theobroma,-62.3425,-10.12177
1101708,Urupá,-62.424409999999995,-11.10395
1101757,Vale do Anari,-61.9391,-9.73243
1101807,Vale do Paraíso,-62.09405,-10.384260000000001
1100304,Vilhena,-60.248419999999996,-12.09562
1200013,Acrelândia,-66.95049,-9.93372
1200054,Assis Brasil,-70.00589000000001,-10.779060000000001
1200104,Brasiléia,-69.20764,-10.746739999999999
1200138,Bujari,-68.17371,-9.61409
1200179,Capixaba,-67.83601999999999,-10.47361
1200203,Cruzeiro do Sul,-72.75488,-7.971939999999999
1200252,Epitaciolândia,-68.61811999999999,-10.88896
1200302,Feijó,-70.74478,-8.92446
1200328,Jordão,-71.9061,-9.24258
1200336,Mâncio Lima,-73.43897,-7.50444
1200344,Manoel Urbano,-69.85392,-9.381210000000001
1200351,Marechal Thaumaturgo,-72.55933,-9.09597
1200385,Plácido de Castro,-67.3399,-10.24888
1200807,Porto Acre,-67.69845,-9.62951
1200393,Porto Walter,-72.7335,-8.4917
1200401,Rio Branco,-68.37104000000001,-10.06615
1200427,Rodrigues Alves,-73.22328,-7.8437399999999995
1200435,Santa Rosa do Purus,-70.39555,-9.41034
1200500,Sena Madureira,-69.38157,-9.77117
1200450,Senador Guiomard,-67.42705,-9.997069999999999
1200609,Tarauacá,-71.44493,-8.23944
1200708,Xapuri,-68.50477,-10.57549
1300029,Alvarães,-65.32445,-3.6946800000000004
1300060,Amaturá,-68.2865,-3.4184300000000003
1300086,Anamã,-61.716930000000005,-3.50225
1300102,Anori,-62.09541,-4.19868
1300144,Apuí,-59.432019999999994,-7.76001
1300201,Atalaia do Norte,-71.74276,-5.711790000000001
1300300,Autazes,-59.5275,-3.7888900000000003
